fips,state_alpha,county_name,lat,lon
17001,IL,Adams County,39.986052,-91.194961
17003,IL,Alexander County,37.183658,-89.349516
17005,IL,Bond County,38.885924,-89.436592
17007,IL,Boone County,42.318983,-88.824295
17009,IL,Brown County,39.962069,-90.750309
17011,IL,Bureau County,41.401304,-89.528377
17013,IL,Calhoun County,39.164262,-90.666295
17015,IL,Carroll County,42.0709,-89.924189
17017,IL,Cass County,39.969202,-90.245704
17019,IL,Champaign County,40.138985,-88.196975
17021,IL,Christian County,39.545524,-89.279593
17023,IL,Clark County,39.332334,-87.791683
17025,IL,Clay County,38.746819,-88.482325
17027,IL,Clinton County,38.606295,-89.426228
17029,IL,Coles County,39.51368,-88.220782
17031,IL,Cook County,41.894294,-87.645455
17033,IL,Crawford County,39.002787,-87.760619
17035,IL,Cumberland County,39.273121,-88.240619
17037,IL,DeKalb County,41.894612,-88.768991
17039,IL,De Witt County,40.181499,-88.901853
17041,IL,Douglas County,39.766078,-88.222866
17043,IL,DuPage County,41.852058,-88.086039
17045,IL,Edgar County,39.679037,-87.74711
17047,IL,Edwards County,38.417095,-88.047941
17049,IL,Effingham County,39.047945,-88.592849
17051,IL,Fayette County,39.001125,-89.017923
17053,IL,Ford County,40.596539,-88.224588
17055,IL,Franklin County,37.991852,-88.926321
17057,IL,Fulton County,40.46524,-90.202269
17059,IL,Gallatin County,37.768677,-88.227964
17061,IL,Greene County,39.355439,-90.387682
17063,IL,Grundy County,41.29241,-88.401054
17065,IL,Hamilton County,38.085227,-88.539009
17067,IL,Hancock County,40.401318,-91.168801
17069,IL,Hardin County,37.517852,-88.266148
17071,IL,Henderson County,40.814471,-90.941246
17073,IL,Henry County,41.350021,-90.130838
17075,IL,Iroquois County,40.748867,-87.833601
17077,IL,Jackson County,37.786096,-89.381212
17079,IL,Jasper County,39.004886,-88.150725
17081,IL,Jefferson County,38.30078,-88.92421
17083,IL,Jersey County,39.080195,-90.361385
17085,IL,Jo Daviess County,42.362391,-90.21147
17087,IL,Johnson County,37.460709,-88.882131
17089,IL,Kane County,41.939594,-88.42804
17091,IL,Kankakee County,41.13951,-87.861117
17093,IL,Kendall County,41.58814,-88.430626
17095,IL,Knox County,40.930945,-90.213792
17097,IL,Lake County,42.185968,-87.805939
17099,IL,LaSalle County,41.343341,-88.885931
17101,IL,Lawrence County,38.718954,-87.730221
17103,IL,Lee County,41.747447,-89.299362
17105,IL,Livingston County,40.894376,-88.552852
17107,IL,Logan County,40.129277,-89.365309
17109,IL,McDonough County,40.455808,-90.678954
17111,IL,McHenry County,42.324298,-88.452245
